app_name,category,reviewer_ratings,review_body
American Cancer Society FUNdraising,Lifestyle,5,Great new App. I use it in my android device and it works great. Easy way to help fight cancer and raise awareness. Great job ACS!
American Cancer Society FUNdraising,Lifestyle,1," Well, I was hoping the login problem was fixed, but I cannot login either. Come on ACS please fix this."
American Cancer Society FUNdraising,Lifestyle,1,Cant login Same problem as literally everyone else.
American Cancer Society FUNdraising,Lifestyle,5,Great updates! I love that fundraising can be linked to my team page. And that paypal is accepted!
American Cancer Society FUNdraising,Lifestyle,5,Makes it so easy! Love being able to raise even more money for a great cause!
American Cancer Society FUNdraising,Lifestyle,1,Frustration It would be great if it would let me log in properly.
American Cancer Society FUNdraising,Lifestyle,1, App doesn't work. Can't log in
American Cancer Society FUNdraising,Lifestyle,1,Sign in This app will not accept my sign on that I have already.
American Cancer Society FUNdraising,Lifestyle,1,Can't login How do we raise money if it won't log in?????
American Cancer Society FUNdraising,Lifestyle,2, Love the idea but needs lots of help!
American Cancer Society FUNdraising,Lifestyle,1,The old app is better Cant log in
American Cancer Society FUNdraising,Lifestyle,1,Can't log in Keeps telling me to link my accounts but then tells me my credentials are bad and I need to update them. I only have one account. I'm not sure what I'm supposed to link. Please fix this!
American Cancer Society FUNdraising,Lifestyle,1,Can't scan checks You need to upgrade the app to allow you to take a picture of the check like banks do instead of scanning.  I spend 10 to 15 minutes every check trying to scan a check
American Cancer Society FUNdraising,Lifestyle,1,"Log in I have updated my ""credentials "" several times and it still won't let me log in"
American Cancer Society FUNdraising,Lifestyle,2,"Frustrating The app only let's me scan ONE check after I uninstall and reinstall it.  Also, the actual scanning of check is not accurate and rarely works."
American Cancer Society FUNdraising,Lifestyle,2,Can't log in I have tried several times and can not log in.
American Cancer Society FUNdraising,Lifestyle,3," After i log in and it takes me to pick the event i'm in,  it just takes me right out of the app."
American Cancer Society FUNdraising,Lifestyle,3, Can't log in.
American Cancer Society FUNdraising,Lifestyle,5,Whole new way to relay Very easy to use
American Cancer Society FUNdraising,Lifestyle,5,"Great app Such a good idea, thank you for finally making it available for Android devices!"
American Cancer Society FUNdraising,Lifestyle,4,"Finally for Android! So far, so smooth..."
